Date,Simulate,Real
2016-01-05,9979.594939890576,9724.846824622215
2016-01-06,9952.40751605163,9534.534857749593
2016-01-07,9870.284878300708,9132.133932770086
2016-01-08,9881.617802310324,9180.422043767576
2016-01-11,9925.60655168445,9329.073679583587
2016-01-12,9968.435922643244,9464.469755517843
2016-01-13,9886.496853141416,9221.135549118471
2016-01-14,9962.639030566705,9422.809424461133
2016-01-15,9877.202502845365,9196.518080766771
2016-01-19,9858.584817792917,9152.017272592626
2016-01-20,9864.487986224192,9164.326006768477
2016-01-21,9839.870517872507,9117.93154718261
2016-01-22,10121.83134847516,9602.706308569626
2016-01-25,10012.79180851551,9415.23481881444
2016-01-26,10044.67471493649,9467.310232635375
2016-01-27,9644.776115036711,8845.245743902386
2016-01-28,9685.557250795131,8908.68306619326
2016-01-29,9892.79614253125,9216.401420589315
2016-02-01,9834.769252845164,9130.240281358461
2016-02-02,9704.77394802879,8945.609268720713
2016-02-03,9833.049508195782,9122.665675711769
2016-02-04,9885.868856499786,9195.571255060959
2016-02-05,9702.924895480386,8949.97525259656
2016-02-08,9775.047594353136,9044.215579123622
2016-02-09,9773.571143143916,9042.31173414331
2016-02-10,9719.020156360142,8973.773314850876
2016-02-11,9674.726620082782,8919.51373291111
2016-02-12,9697.825310711607,8947.119485126046
2016-02-16,9914.047704907862,9199.378945021677
2016-02-17,10034.805872232482,9340.263473567069
2016-02-18,9883.042229513654,9163.205890395104
2016-02-19,9864.877994241988,9142.263595611299
2016-02-22,9935.04828066042,9222.22508478579
2016-02-23,9749.977064280389,9013.75405943817
2016-02-24,9870.502107729837,9147.975130552328
2016-02-25,9926.918085514773,9210.802014903735
2016-02-26,9939.88560106966,9225.080852256306
2016-02-29,9920.652881370248,9204.138557472503
2016-03-01,10260.081243580185,9569.676793698587
2016-03-02,10279.527660165053,9590.619088482292
2016-03-03,10346.550774269046,9662.01327524524
2016-03-04,10481.490643998446,9805.75357126134
2016-03-07,10379.615510560334,9697.234407381613
2016-03-08,10303.733689200868,9617.272918207122
2016-03-09,10311.951305799694,9625.840220618664
2016-03-10,10316.51664835466,9630.599833069587
2016-03-11,10417.09988698453,9734.359384498293
2016-03-14,10441.092219134734,9759.109369242717
2016-03-15,10631.185312324946,9955.20540221788
2016-03-16,10759.452011128546,10087.52262835212
2016-03-17,10743.764717030344,10071.33994601924
2016-03-18,10754.838101099494,10082.763015901099
2016-03-21,10753.915319093494,10081.811093410699
2016-03-22,10828.660661562393,10158.916815115459
2016-03-23,10774.216523220746,10102.7533881946
2016-03-24,10731.768550955196,10058.96495364698
2016-03-28,10687.475014677644,10013.27267411856
2016-03-29,10917.247734116545,10250.30137417132
2016-03-30,11090.730751202746,10429.2628023234
2016-03-31,11038.132176874045,10375.00322038432
2016-04-01,11130.410377451244,10470.195469400798
2016-04-04,11234.684744104545,10577.76271079052
2016-04-05,11113.800301347996,10453.060864578501
2016-04-06,11219.920232012346,10562.531950948041
2016-04-07,10996.606986613546,10332.166708326122
2016-04-08,11007.680370682694,10343.58977820798
2016-04-11,11040.900522891096,10377.85898785454
2016-04-12,11171.935567711746,10513.031981459
2016-04-13,11319.580688636595,10665.33957988674
2016-04-14,11325.117380670696,10671.05111482718
2016-04-15,11117.491429371044,10456.868554539118
2016-04-18,10898.792094001294,10231.262924368219
2016-04-19,10846.193519671644,10177.00334242816
2016-04-20,10866.494723798894,10197.94563721206
2016-04-21,10759.452011128546,10087.52262835212
2016-04-22,10732.691332961194,10059.91687613738
2016-04-25,10677.324412614496,10002.8015267271
2016-04-26,10609.961326192644,9933.31118494456
2016-04-27,10007.384676418664,9311.705798861927
2016-04-28,9731.472856690783,9027.080974300536
2016-04-29,9630.889618060915,8923.321422871828
